Candidato,Nota,Opçao,Instituição,Curso
10,13.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
9,13.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
8,13.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
4,18.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
3,18.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
2,18.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
1,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
7,15.000000,2,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial
6,15.000000,2,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial
5,15.000000,2,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial
13,11.000000,4,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Física Tecnológica
12,11.000000,4,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Física Tecnológica
11,11.000000,4,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Física Tecnológica
