Candidato,Nota,Opçao,Instituição,Curso
5,15.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
6,16.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
1,11.000000,5,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Mecânica
2,12.000000,5,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Mecânica
9,19.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
10,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
7,17.000000,2,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial
8,18.000000,2,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial
3,13.000000,4,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Física Tecnológica
4,14.000000,4,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Física Tecnológica
